"date","faultsForward","shortagesForward","mahcines"
"28/10/2022",125,154,67
"30/10/2022",97,48,25
"31/10/2022",59,141,67
"01/11/2022",173,200,88
"02/11/2022",167,148,73
"03/11/2022",82,151,72
"04/11/2022",76,139,50
"05/11/2022",38,43,19
"06/11/2022",66,29,15
"07/11/2022",114,136,80
"08/11/2022",118,161,77
"09/11/2022",114,187,71
"10/11/2022",150,171,65
"11/11/2022",76,144,45
"12/11/2022",37,100,26
"13/11/2022",96,62,18
"14/11/2022",125,219,69
"15/11/2022",206,213,85
"16/11/2022",109,210,70
"17/11/2022",136,193,82
"18/11/2022",138,171,63
"19/11/2022",34,59,21
"20/11/2022",26,45,13
"21/11/2022",71,127,60
"22/11/2022",90,114,55
"23/11/2022",166,167,79
"24/11/2022",101,175,68
"25/11/2022",45,72,26
"26/11/2022",32,44,14
"27/11/2022",26,42,14
"28/11/2022",19,40,11
