"division","tPeriod","sapPlant","family","baseModel","model","name","hours","package","dealer","retailDealer","country","customer","sapStatus","intSupplier","failedPart","supplier","dCode","failedAt","sCategory","sCategoryDetail","buildmonth","buildDate","soldDate","failDate","claimDate","dealerCreditDate","supplierClaimDate","claimNumber","wClaimNumber","engineManufacturer","engineSerialNumber","description","failedPartQuantity","labHrsClaimed","labHrsPaid","partsCosts","labour","travel","otherCosts","uplift","creditVAT","cost","importedDate","importDate","importWeek","postCutIn","nameCount","fourC","status","vetted"
"BHL","T000","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","1CX","1CXTEC","3176431","9","S001 -Standard 12 months","0004005323 -SIF IS MAKINALARI PAZARLAMA SAN. ve","0004005323 -SIF IS MAKINALARI PAZARLAMA SAN. ve","Turkey","GELECEK GRUP","0300 -Claim posted FI/CO (OC)","NON","333/L6495 -ABI HOSE 5/8 BSP HP 620B SPRING","PARKER HANNIFIN LTD (GBP)","D -DIMENSION/MANUFACTURE","E -HYDRAULICS","6 -HOSES","00 -MISC.","AUG 2022","30/08/2022","31/10/2022","15/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201363204","301324436","#","GN66168U925091H","There was friction between lock and hose. It has checked and seen that the hose connected to the breaker pipe was fricted in the lock because it was connected invorrect. The hose fixed.",0,1,1,0,37.82,0,8.13,0,37.82,45.95,"2022-12-12T14:05:40.071Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T000","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO","3CX 15HFCA","3141459","7","S003 -Standard 24 months 2000hrs","JCB2401 -JCB INC","0004002756 -STEPHENSON EQUIPMENT, INC","USA","JACKSON TWP, GREENE COUNTY","0300 -Claim posted FI/CO (OC)","PWR","320/D9980 -14V 170A ALTERNATOR","MAHLE Electric Drives Slovenija d.o","I -INOPERATIVE","C -ELECTRICS","3 -CHARGE","10 -ALTERNATOR","AUG 2022","23/08/2022","30/11/2022","07/12/2022","07/12/2022","2022-12-08T00:00:00.000Z","2022-12-08T00:00:00.000Z","201362906","301323813","JCB","SJ320/41294U2506122","MACHINE HAD CODE TEST RAN AND FOUND CHARGE LIGHT FLASHING WHEN MACHINE SHAKES.CHECKED WIRING AND FOUND NUT MISSING ON TERMINAL ON ALTERNATOR. INSTALLED NEW NUT AND LOCK WASHER. TEST RAN OK.",0,1,1,0,76.81,36.23,8.13,0,113.04,120.94,"2022-12-12T14:05:40.077Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T000","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO STAGEV","3CX 14H5NA","3140300","10","S001 -Standard 12 months","0004004988 -C F C HOLDINGS PTY LTD - BRISBANE","0004005179 -C F C HOLDINGS PTY LTD","Australia","LOGAN CITY COUNCIL","0239 -Error in rule engine OC","NON","400/13569 -RH Rear Armrest Moduling","ISRINGHAUSEN (GB) LTD.","K -CRACKED/SPLIT/TORN","B -BODYWORK","9 -CAB MISC","60 -MOULDING","JUN 2022","15/06/2022","23/09/2022","08/11/2022","12/12/2022","2022-12-12T00:00:00.000Z","#","201364263","#","JCB","DP320/41689U1905122","Customer complained the dead man safety lever to engage the hydraulics was jammed and the arm rest would not lower, therefore the seat would not move positions Removed screws from the plastic cover on the right hand arm rest. Found that arm rest had been damaged and one of the bolt holes was cracked meaning the cover was not secure and causing the armrest to jam. Removed plast New right hand arm rest cover to be ordered. Remove remaining bracket arm rest component, replaced broken component and tested the machine, full functions working, tested ok",1,1.5,1.5,7.35,0,0,0,7.67,137.22,0,"2022-12-12T14:05:40.077Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T000","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO STAGEV","3CX 14H5WA","3141437","13","S001 -Standard 12 months","0004005177 -UNIPLANT LTD","0004005177 -UNIPLANT LTD","Cyprus","DEMETRIS KOUTIS","0300 -Claim posted FI/CO (OC)","HBU","559/70229 -WA CYL  (214E dipper Forged Elbow)","JCB Internally Manufactured Compone","L -LEAKING","M -RAMS","1 -RAMS","21 -CYLINDER DIPPER","AUG 2022","22/08/2022","11/11/2022","14/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201363150","301324025","JCB","DP320/41689U2542722","Customer complaint that the DIPPER CYLINDER (559/70229) is leaking. Customer complaint confirmed. DIPPER CYLINDER (559/70229) leaking. Customer arrived at our workshop with customer complaint that the DIPPER CYLINDER (559/70229) is leaking. Customer complaint was confirmed. We checked the machine and found the DIPPER CYLINDER (559/70229) to be leaking from a welding point. We replaced the part DIPPER CYLINDER (559/70229) resealed the the dipper ram added hydraulic oil tested the machine and problem is solved. Photos attached. LL service history attached.",1,3,3,185.55,118.49,0,8.13,207.61,982.63,519.79,"2022-12-12T14:05:40.078Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T001","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5NM","3015690","30","S013 -Standard 24 months 4000hrs","0004004775 -COMASCO LTD","0004004775 -COMASCO LTD","Israel","COMASCO","0239 -Error in rule engine OC","HBU","556/60402 -EXPT GA RAM Stabiliser 70","JCB Internally Manufactured Compone","L -LEAKING","M -RAMS","1 -RAMS","50 -STABILISER","MAR 2022","30/03/2022","14/11/2022","22/11/2022","11/12/2022","2022-12-12T00:00:00.000Z","#","201363450","#","JCB","DP320/41689U1012522","Hydraulic oil leak from Right stabiliser. Ram removed and found after stripping that the seal kit was incorrect. Return to Comasco and new seal kit fitted. Ram returned and installed.",0,3.25,3.25,4.42,0,0,0,9.24,241.04,0,"2022-12-12T14:05:40.082Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T001","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14M5WM","3141156","34","S003 -Standard 24 months 2000hrs","0004004947 -TERRA HOLDING GMBH","0004004947 -TERRA HOLDING GMBH","Austria","PAVIMONT SRL","0239 -Error in rule engine OC","PWR","320/A9069 -COOLANT CTRL VALVE AT 12V","PARKER HANNIFIN LTD (GBP)","I -INOPERATIVE","L -ENGINE ANCILLIARIES","9 -MISCELLANEOUS","64 -DEF COOLANT VALVE","JUL 2022","21/07/2022","07/11/2022","15/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","#","201363447","#","JCB","DP320/41689U2409622","The customer reported code P205B-00 , on display. We found code P205B-00 , on LL. To the machine we connected SM4 , started the engine , warmed up , and found active the error code P205B-00 , and the AD BLUE temperature increased as engine was running and coolant temperature was rising to 62 DEG C . On SM4 sistem status the heater valve i We replaced the coolant control  valve , fitted new inline filter , filled with coolant , carried out test and problem solved.",1,4,4,52.83,0,0,0,43.4,335.93,0,"2022-12-12T14:05:40.088Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T001","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO STAGEV","3CX 14H5WA","3141226","39","S001 -Standard 12 months","0004004728 -HOLT JCB LTD BRISTOL","0004004728 -HOLT JCB LTD BRISTOL","United Kingdom","D PROPERT & SONS","0300 -Claim posted FI/CO (OC)","NON","333/C6371 -COVER PLATE","INDOPOL FOOD PRO. MACHINERY PVT","Q -MISSING","B -BODYWORK","1 -CHASSIS/FRONT","55 -COVER/PANEL/LWR COVER","JUL 2022","25/07/2022","27/10/2022","08/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201361820","301324444","JCB","DP320/41689U2448722","Concern- Panel fallen off (ad blue supply plate) Cause- Bolts fallen out causing panel to fall off Correction- Travelled to machine and investigated fault. Re attac hed plate to machine with correct bolts.     Customer also reques ted stickers were moved in cab due to obstructing visibility.  Safety issue - blocking vision in cab    Ordered new stickers in to Cheltenham Returned back to machine and re fitted sticker away  from blocking operators vision",0,1.5,1.5,0,68.25,80,8.13,0,177.9,156.38,"2022-12-12T14:05:40.091Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX","3CX 14M3WM","3016205","129","S003 -Standard 24 months 2000hrs","0004005021 -TERRA HOLDING GMBH","0004005021 -TERRA HOLDING GMBH","Austria","INSIDO","0239 -Error in rule engine OC","WRE","441/M6148 -SS750 GEARBOX XL/R 27/40","JCB Internally Manufactured Compone","X -BLOCKED/CONTAMINATED","F -TRANSMISSION","2 -SYNCHRO SHUTTLE/POWERSHIFT","00 -MISC.","APR 2022","08/04/2022","11/10/2022","30/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","#","201363093","#","JCB","SD320/40551U1248022","Customer during machine check observed unusual colour (milky ) of oil on gearbox dipstick during oil level inspection. They have reported it to us, and machine was brought to our workshop. There is strong believe that contamination is coming from factory (wrong grade of oil mixed ) as customer did not top up oil in machine and 100 W/H service is being carried out now. Oil was drained and visual inspection was carried out on all possible points of water entry to gearbox.  All points were properly sealed and no possible oil contamination from ambient.We have flushed suction screen and replaced",0,12,12,114.53,0,0,0,50.65,767.75,0,"2022-12-12T14:05:40.095Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5NM","3015497","378","S013 -Standard 24 months 4000hrs","0004004775 -COMASCO LTD","0004004775 -COMASCO LTD","Israel","COMASCO","0239 -Error in rule engine OC","HBU","563/60101 -EXP ED 214HL BOOM","JCB Internally Manufactured Compone","Y -SLIPPING","B -BODYWORK","4 -BOOM","00 -MISC.","MAR 2022","14/03/2022","31/08/2022","06/10/2022","11/12/2022","2022-12-12T00:00:00.000Z","#","201363434","#","JCB","DP320/41689U0920222","Creeping boom Found ok Hydraulic oil heat up to work temp of 50C. Connected pressure gauge 70bar and 6mm an hour found ok. Although the test found ok but if the customer complain we must check his complaint",0,1.5,1.5,0,0,0,0,0,90,0,"2022-12-12T14:05:40.097Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5NM","3015497","378","S013 -Standard 24 months 4000hrs","0004004775 -COMASCO LTD","0004004775 -COMASCO LTD","Israel","COMASCO","0239 -Error in rule engine OC","NON","1450/0001 -GREASE NIPPLE G1/8A","VIRAL ENGINEERS (INR)","I -INOPERATIVE","B -BODYWORK","8 -LOADER ARMS","13 -PIVOT PIN","MAR 2022","14/03/2022","31/08/2022","06/10/2022","11/12/2022","2022-12-12T00:00:00.000Z","#","201363433","#","JCB","DP320/41689U0920222","Machine checkup bottom pins between shovel and loader arm does not get grease Grease nippels blocked Remove pins and replace grease nipples fit new shimsץ",2,1.5,1.5,8.27,0,0,0,24.99,160.43,0,"2022-12-12T14:05:40.097Z","12/12/2022","50","Yes",0,"No","Open","No"
