"date","faultsForward","shortagesForward","mahcines"
"24/10/2022",0,0,64
"25/10/2022",0,0,77
"26/10/2022",2,3,103
"27/10/2022",0,0,107
"28/10/2022",0,0,80
"29/10/2022",0,0,33
"30/10/2022",0,0,15
"31/10/2022",0,0,73
"01/11/2022",0,0,86
"02/11/2022",0,0,85
"04/11/2022",0,0,79
"03/11/2022",0,0,102
"05/11/2022",0,0,26
"06/11/2022",0,0,28
"07/11/2022",1,0,64
"08/11/2022",0,0,95
"09/11/2022",0,0,75
"10/11/2022",5,9,70
"11/11/2022",0,0,73
"12/11/2022",0,0,55
"13/11/2022",0,0,28
"14/11/2022",0,2,47
"15/11/2022",3,6,79
"16/11/2022",0,1,96
"17/11/2022",4,5,87
"18/11/2022",15,16,81
"19/11/2022",12,17,44
"20/11/2022",9,9,27
"21/11/2022",9,26,45
"22/11/2022",15,32,84
"23/11/2022",42,76,96
"24/11/2022",117,215,80
