"vin","type","concern","detail","start_Date","start_Time","end_Date","end_Time","hours","minutes","seconds","machine_name","weekday"
"Cloos Leg Cross Box ","Breakdown","Water Flow Problems","","2022-10-06","04:01:05","2022-10-06","04:19:01",0,17,57,"","Thursday"
"IGM Boom 44","Breakdown","E-Stop Problems","","2022-10-06","06:15:16","2022-10-06","06:40:22",0,25,6,"","Thursday"
"Cloos Leg Cross Box ","Unplanned Stoppage","Parts Require Re-work","","2022-10-06","06:32:58","2022-10-06","06:45:19",0,12,22,"","Thursday"
"Cloos Tower 2","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-06","06:33:13","2022-10-06","06:40:18",0,7,5,"","Thursday"
"Cloos Yoke","Planned Stoppage","Torch Check","","2022-10-06","07:24:05","2022-10-06","07:28:47",0,4,41,"","Thursday"
"Slider","Unplanned Stoppage","Wire Change","","2022-10-06","07:53:11","2022-10-06","08:14:24",0,21,13,"","Thursday"
"Cloos Tower 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-06","07:53:52","2022-10-06","08:00:30",0,6,38,"","Thursday"
"Cloos Tower 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-06","08:10:57","2022-10-06","08:31:44",0,20,47,"","Thursday"
"IGM Boom 44","Planned Stoppage","Manual Clean","","2022-10-06","08:23:10","2022-10-06","08:35:32",0,12,22,"","Thursday"
"Cloos Arm 3","Unplanned Stoppage","Program Problems","","2022-10-06","08:30:44","2022-10-06","08:45:35",0,14,51,"","Thursday"
"Cloos Tower 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-06","09:31:49","2022-10-06","09:43:46",0,11,57,"","Thursday"
"Cloos Yoke","Unplanned Stoppage","Collision","","2022-10-06","09:52:02","2022-10-06","09:54:29",0,2,27,"","Thursday"
"Cloos Side Member 1","Breakdown","Unknown","","2022-10-06","09:57:29","2022-10-06","10:25:34",0,28,5,"","Thursday"
"Oxy 1","Breakdown","Gas Problems ","","2022-10-06","10:46:27","2022-10-06","12:55:45",2,9,18,"","Thursday"
"IGM Main Frame 5","Unplanned Stoppage","Program Problems","","2022-10-06","10:55:55","2022-10-06","11:25:37",0,29,43,"","Thursday"
"Slider","Unplanned Stoppage","Waiting Crane","","2022-10-06","11:35:30","2022-10-06","11:40:28",0,4,58,"","Thursday"
"Cloos Tower 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-06","11:38:29","2022-10-06","11:45:30",0,7,1,"","Thursday"
"Cloos Tower 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-06","11:50:18","2022-10-06","12:54:13",1,3,54,"","Thursday"
"Cloos Arm 3","Unplanned Stoppage","Arc Fault","","2022-10-06","13:05:29","2022-10-06","13:06:31",0,1,2,"","Thursday"
"Cloos Yoke","Unplanned Stoppage","Collision","","2022-10-06","13:06:43","2022-10-06","13:14:01",0,7,17,"","Thursday"
"Cloos Side Member 2","Breakdown","Unknown","","2022-10-06","13:38:16","2022-10-06","14:30:41",0,52,26,"","Thursday"
"IGM Main Frame 5","Unplanned Stoppage","Program Problems","","2022-10-06","13:46:48","2022-10-06","14:40:36",0,53,48,"","Thursday"
"Cloos Side Member 1","Breakdown","Unknown","","2022-10-06","14:27:01","2022-10-06","14:50:34",0,23,33,"","Thursday"
"Slider","Unplanned Stoppage","Waiting Crane","","2022-10-06","16:35:18","2022-10-06","16:40:21",0,5,3,"","Thursday"
"Cloos Arm 2","Breakdown","Unknown","","2022-10-06","22:43:11","2022-10-10","07:00:37",80,17,26,"","Thursday"
"IGM Main Frame 5","Unplanned Stoppage","Wire Change","","2022-10-06","22:49:55","2022-10-06","23:30:31",0,40,36,"","Thursday"
"Slider","Unplanned Stoppage","Waiting Crane","","2022-10-06","23:18:16","2022-10-06","23:50:22",0,32,6,"","Thursday"
"IGM Main Frame 5","Breakdown","Harness Change Tactile","","2022-10-06","00:13:24","2022-10-07","02:15:02",2,1,37,"","Thursday"
"IGM Main Frame 5","Breakdown","Pendant Problems","","2022-10-07","06:35:26","2022-10-07","08:30:30",1,55,4,"","Friday"
"IGM Boom 44","Planned Stoppage","Tool Change Over","","2022-10-07","06:54:25","2022-10-07","07:40:34",0,46,9,"","Friday"
"Cloos Tower 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-07","07:03:41","2022-10-07","07:21:45",0,18,4,"","Friday"
"Cloos Side Member 1","Unplanned Stoppage","Program Problems","","2022-10-07","08:15:40","2022-10-07","08:35:24",0,19,44,"","Friday"
"Cloos Tower 1","Unplanned Stoppage","Wire Change","","2022-10-07","09:38:14","2022-10-07","10:38:38",1,0,24,"","Friday"
"Cloos Side Member 1","Unplanned Stoppage","Collision","","2022-10-07","09:47:58","2022-10-07","09:55:30",0,7,32,"","Friday"
"Cloos Main Frame 4","Breakdown","E-Stop Problems","","2022-10-07","10:24:39","2022-10-07","10:35:52",0,11,13,"","Friday"
"Slider","Unplanned Stoppage","Waiting Crane","","2022-10-07","11:30:13","2022-10-07","11:35:26",0,5,13,"","Friday"
"IGM Main Frame 5","Unplanned Stoppage","Operator absence","","2022-10-07","11:42:54","2022-10-08","07:25:28",19,42,34,"","Friday"
"Cloos Main Frame 2 (Site Dumper)","Unplanned Stoppage","Wire Change","","2022-10-07","12:00:59","2022-10-07","13:44:08",1,43,9,"","Friday"
"Cloos Main Frame 1","Unplanned Stoppage","Waiting Pre-Prepped Parts","","2022-10-07","14:36:18","2022-10-07","16:30:22",1,54,4,"","Friday"
"Cloos Main Frame 1","Unplanned Stoppage","Operator absence","","2022-10-08","06:06:23","2022-10-09","07:08:16",25,1,53,"","Saturday"
"IGM Main Frame 5","Breakdown","Axis Problems","","2022-10-08","08:09:01","2022-10-08","08:25:27",0,16,25,"","Saturday"
"Cloos Main Frame 2 (Site Dumper)","Breakdown","Axis Problems","","2022-10-09","08:45:34","2022-10-09","09:40:22",0,54,48,"","Sunday"
"Cloos Main Frame 1","Breakdown","E-Stop Problems","","2022-10-09","16:41:59","2022-10-09","16:43:39",0,1,40,"","Sunday"
